

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
04/27/2026,"YOU BOUGHT ASSIGNED PUTS AS OF 04-24-26 RED CAT HLDGS INC COM (RCAT) (Cash)",RCAT,"RED CAT HLDGS INC COM",Cash,12.5,200,,,,-2500,Processing,04/27/2026
04/27/2026,"EXPIRED PUT (UAMY) UNITED STATES APR 24 26 $9.5 as of Apr-24-2026 PUT (UAMY) UNITED STATES APR 24 26 $9.5 (100 SHS) (Cash)", -UAMY260424P9.5,"PUT (UAMY) UNITED STATES APR 24 26 $9.5 (100 SHS)",Cash,,2,,,,0.00,Processing,
04/27/2026,"ASSIGNED as of Apr-24-2026 PUT (RCAT) RED CAT HLDGS INC APR 24 26 $12.5 (100 SHS) (Cash)", -RCAT260424P12.5,"PUT (RCAT) RED CAT HLDGS INC APR 24 26 $12.5 (100 SHS)",Cash,,2,,,,0.00,Processing,
04/24/2026,"YOU SOLD OPENING TRANSACTION PUT (UMAC) UNUSUAL MACHS INC MAY 01 26 $13.5 (100 SHS) (Cash)", -UMAC260501P13.5,"PUT (UMAC) UNUSUAL MACHS INC MAY 01 26 $13.5 (100 SHS)",Cash,0.41,-1,0.65,0.02,,40.33,10252.02,04/27/2026
04/24/2026,"YOU SOLD OPENING TRANSACTION PUT (UEC) URANIUM ENERGY CORP MAY 01 26 $13.5 (100 SHS) (Cash)", -UEC260501P13.5,"PUT (UEC) URANIUM ENERGY CORP MAY 01 26 $13.5 (100 SHS)",Cash,0.22,-1,0.65,0.02,,21.33,10211.69,04/27/2026
04/24/2026,"YOU SOLD OPENING TRANSACTION PUT (TMC) TMC THE METALS CO MAY 01 26 $5 (100 SHS) (Cash)", -TMC260501P5,"PUT (TMC) TMC THE METALS CO MAY 01 26 $5 (100 SHS)",Cash,0.19,-1,0.65,0.02,,18.33,10190.36,04/27/2026
04/24/2026,"YOU BOUGHT CLOSING TRANSACTION PUT (AG) FIRST MAJESTIC APR 24 26 $20 (100 SHS) (Cash)", -AG260424P20,"PUT (AG) FIRST MAJESTIC APR 24 26 $20 (100 SHS)",Cash,0.06,1,,0.02,,-6.02,10172.03,04/27/2026
04/23/2026,"YOU SOLD OPENING TRANSACTION PUT (ONDS) ONDAS INC COMMON MAY 01 26 $9.5 (100 SHS) (Cash)", -ONDS260501P9.5,"PUT (ONDS) ONDAS INC COMMON MAY 01 26 $9.5 (100 SHS)",Cash,0.2,-1,0.65,0.02,,19.33,10178.05,04/24/2026
04/23/2026,"YOU SOLD OPENING TRANSACTION PUT (RCAT) RED CAT HLDGS INC APR 24 26 $12.5 (100 SHS) (Cash)", -RCAT260424P12.5,"PUT (RCAT) RED CAT HLDGS INC APR 24 26 $12.5 (100 SHS)",Cash,0.17,-1,0.65,0.02,,16.33,10158.72,04/24/2026
04/23/2026,"YOU SOLD OPENING TRANSACTION PUT (RCAT) RED CAT HLDGS INC APR 24 26 $12.5 (100 SHS) (Cash)", -RCAT260424P12.5,"PUT (RCAT) RED CAT HLDGS INC APR 24 26 $12.5 (100 SHS)",Cash,0.26,-1,0.65,0.02,,25.33,10142.39,04/24/2026
04/23/2026,"YOU BOUGHT CLOSING TRANSACTION PUT (NOK) NOKIA OYJ ADR EACH APR 24 26 $9.5 (100 SHS) (Cash)", -NOK260424P9.5,"PUT (NOK) NOKIA OYJ ADR EACH APR 24 26 $9.5 (100 SHS)",Cash,0.01,2,,0.05,,-2.05,10117.06,04/24/2026
